#
# Valid combinations of
#   quantity,unit
# Extracted from Energistics UoM database
#
Cartesian coordinates,chBnA
Cartesian coordinates,chBnB
Cartesian coordinates,chCla
Cartesian coordinates,chSe
Cartesian coordinates,chUS
Cartesian coordinates,cm
Cartesian coordinates,dm
Cartesian coordinates,fm
Cartesian coordinates,ft
Cartesian coordinates,ftBnA
Cartesian coordinates,ftBnB
Cartesian coordinates,ftBr(65)
Cartesian coordinates,ftCla
Cartesian coordinates,ftGC
Cartesian coordinates,ftInd
Cartesian coordinates,ftInd(37)
Cartesian coordinates,ftInd(62)
Cartesian coordinates,ftInd(75)
Cartesian coordinates,ftMA
Cartesian coordinates,ftSe
Cartesian coordinates,ftUS
Cartesian coordinates,in
Cartesian coordinates,in/10
Cartesian coordinates,in/16
Cartesian coordinates,in/32
Cartesian coordinates,in/64
Cartesian coordinates,inUS
Cartesian coordinates,km
Cartesian coordinates,lkBnA
Cartesian coordinates,lkBnB
Cartesian coordinates,lkCla
Cartesian coordinates,lkSe
Cartesian coordinates,lkUS
Cartesian coordinates,m
Cartesian coordinates,mGer
Cartesian coordinates,mi
Cartesian coordinates,miUS
Cartesian coordinates,nautmi
Cartesian coordinates,yd
Cartesian coordinates,ydBnA
Cartesian coordinates,ydBnB
Cartesian coordinates,ydCla
Cartesian coordinates,ydIm
Cartesian coordinates,ydInd
Cartesian coordinates,ydInd(37)
Cartesian coordinates,ydInd(62)
Cartesian coordinates,ydInd(75)
Cartesian coordinates,ydSe
Darcy flow coefficient,Pa/m3
Darcy flow coefficient,psi2.d/cP.ft3
Darcy flow coefficient,psi2.d/cp.ft3
absorbed dose,Gy
absorbed dose,mGy
absorbed dose,rd
acceleration linear,Gal
acceleration linear,cm/s2
acceleration linear,ft/s2
acceleration linear,gn
acceleration linear,m/s2
acceleration linear,mGal
acceleration linear,mgn
acoustic impedance,Pa.s/m3
activity (of radioactivity),Bq
activity (of radioactivity),Ci
activity (of radioactivity),GBq
activity (of radioactivity),MBq
activity (of radioactivity),TBq
activity (of radioactivity),curie
activity (of radioactivity),mCi
activity (of radioactivity),mcurie
activity (of radioactivity),nCi
activity (of radioactivity),ncurie
activity (of radioactivity),pCi
activity (of radioactivity),pcurie
activity (of radioactivity),uCi
activity (of radioactivity),ucurie
admittance,GS
admittance,S
admittance,kS
admittance,mS
admittance,mho
admittance,pS
admittance,uS
affinity of a chemical reaction,Btu/lbmole
affinity of a chemical reaction,Btu/mol(lbm)
affinity of a chemical reaction,J/mol
affinity of a chemical reaction,MJ/kmol
affinity of a chemical reaction,MJ/mol(kg)
affinity of a chemical reaction,kJ/kmol
affinity of a chemical reaction,kJ/mol(kg)
affinity of a chemical reaction,kcal/mol
affinity of a chemical reaction,kcal/mol(g)
amount of a substance,kmol/m3
amount of a substance,lbmole/ft3
amount of a substance,lbmole/galUK
amount of a substance,lbmole/galUS
amount of a substance,mol(kg)/m3
amount of a substance,mol(lbm)/ft3
amount of a substance,mol(lbm)/galUK
amount of a substance,mol(lbm)/galUS
amount of a substance,mol/m3
amount of substance,kmol
amount of substance,lbmole
amount of substance,m3(std,0C)
amount of substance,m3(std,15C)
amount of substance,mmol
amount of substance,mol
amount of substance,mol(g)
amount of substance,mol(kg)
amount of substance,mol(lbm)
amount of substance,umol
angle per length,dega/100ft
angle per length,dega/30ft
angle per length,dega/30m
angle per length,dega/ft
angle per length,dega/ft(100)
angle per length,dega/m
angle per length,dega/m(30)
angle per length,rad/ft
angle per length,rad/m
angle per time,c/s
angle per time,dega/h
angle per time,dega/min
angle per time,dega/s
angle per time,rad/s
angle per time,rev/min
angle per time,rev/s
angle per time,rpm
angle per volume,rad/ft3
angle per volume,rad/m3
angular acceleration,rad/s2
angular acceleration,rpm/s
angular velocity,c/s
angular velocity,rad/s
area per area,%
area per area,Euc
area per area,in2/ft2
area per area,in2/in2
area per area,m2/m2
area per area,mm2/mm2
area per area,pu
area per time,cSt
area per time,cm2/s
area per time,ft2/h
area per time,ft2/s
area per time,in2/s
area per time,m2/h
area per time,m2/s
area per time,mm2/s
area per volume,1/m
area per volume,b/cm3
area per volume,cu
area per volume,ft2/in3
area per volume,m2/cm3
area per volume,m2/m3
area per volume,sigma
area,acre
area,b
area,cm2
area,ft2
area,ha
area,in2
area,km2
area,m2
area,mi2
area,miUS2
area,mm2
area,sq ft
area,sq in
area,sq mi
area,sq yd
area,um2
area,yd2
areic mass,Mg/m2
areic mass,kg/m2
areic mass,lbm/100ft2
areic mass,lbm/ft2
areic mass,tonUS/ft2
attenuation per length,B/m
attenuation per length,dB/ft
attenuation per length,dB/km
attenuation per length,dB/m
attenuation,B/O
attenuation,Euc
attenuation,dB/O
breadth,chBnA
breadth,chBnB
breadth,chCla
breadth,chSe
breadth,chUS
breadth,cm
breadth,dm
breadth,fm
breadth,ft
breadth,in
breadth,in/10
breadth,in/16
breadth,in/32
breadth,in/64
breadth,km
breadth,m
breadth,mi
breadth,mil
breadth,nm
breadth,pm
breadth,um
breadth,yd
bulk compressibility,1/Pa
bulk compressibility,1/bar
bulk compressibility,1/kPa
bulk compressibility,1/pPa
bulk compressibility,1/psi
bulk compressibility,1/upsi
bulk modulus,Btu/bbl
bulk modulus,Btu/ft3
bulk modulus,Btu/galUK
bulk modulus,Btu/galUS
bulk modulus,J/dm3
bulk modulus,J/m3
bulk modulus,MJ/m3
bulk modulus,MW.h/m3
bulk modulus,cal/cm3
bulk modulus,cal/mL
bulk modulus,cal/mm3
bulk modulus,erg/cm3
bulk modulus,erg/m3
bulk modulus,ft.lbf/bbl
bulk modulus,ft.lbf/galUS
bulk modulus,hp.hr/bbl
bulk modulus,kJ/dm3
bulk modulus,kJ/m3
bulk modulus,kW.h/dm3
bulk modulus,kW.h/m3
bulk modulus,kcal/cm3
bulk modulus,kcal/m3
bulk modulus,lbf.ft/bbl
bulk modulus,therm/ft3
bulk modulus,therm/galUK
bulk modulus,tonfUS.mi/bbl
capacitance,F
capacitance,pF
capacitance,uF
charge density,C/cm3
charge density,C/m3
charge density,C/mm3
chemical potential,Btu/lbmole
chemical potential,Btu/mol(lbm)
chemical potential,J/mol
chemical potential,MJ/kmol
chemical potential,MJ/mol(kg)
chemical potential,kJ/kmol
chemical potential,kJ/mol(kg)
chemical potential,kcal/mol
chemical potential,kcal/mol(g)
circular frequency,c/s
circular frequency,dega/h
circular frequency,dega/min
circular frequency,dega/s
circular frequency,rad/s
coefficient of thermal insulation,K.m2/W
coefficient of thermal insulation,K.m2/kW
coefficient of thermal insulation,degC.m2.h/kcal
coefficient of thermal insulation,degF.ft2.h/Btu
compressibility,1/Pa
compressibility,1/bar
compressibility,1/kPa
compressibility,1/pPa
compressibility,1/psi
compressibility,1/upsi
concentration of B,kmol/m3
concentration of B,lbmole/ft3
concentration of B,lbmole/galUK
concentration of B,lbmole/galUS
concentration of B,mol(kg)/m3
concentration of B,mol(lbm)/ft3
concentration of B,mol(lbm)/galUK
concentration of B,mol(lbm)/galUS
concentration of B,mol/m3
conductivity,S/m
conductivity,mS/m
conductivity,mho/m
conductivity,mmho/m
cross section absorption,b/elec
cross section absorption,m2/mol
current density,A/cm2
current density,A/ft2
current density,A/m2
current density,A/mm2
current density,mA/cm2
current density,mA/ft2
current density,uA/cm2
current density,uA/in2
data transmission speed,Bd
data transmission speed,bps
delta temperature,K
delta temperature,ddegC
delta temperature,ddegF
delta temperature,ddegK
delta temperature,ddegR
density of heat flow rate,Btu/hr.ft2
density of heat flow rate,Btu/s.ft2
density of heat flow rate,W/cm2
density of heat flow rate,W/m2
density of heat flow rate,W/mm2
density of heat flow rate,cal/h.cm2
density of heat flow rate,hhp/in2
density of heat flow rate,hp/in2
density of heat flow rate,kW/cm2
density of heat flow rate,kW/m2
density of heat flow rate,mW/m2
density of heat flow rate,ucal/s.cm2
density,10Mg/m3
density,Mg/m3
density,dAPI
density,g/L
density,g/cm3
density,g/dm3
density,g/galUK
density,g/galUS
density,g/m3
density,grain/100ft3
density,grain/ft3
density,grain/ft3(100)
density,grain/galUS
density,kg/L
density,kg/dm3
density,kg/m3
density,lbm/1000galUK
density,lbm/1000galUS
density,lbm/10bbl
density,lbm/Mbbl
density,lbm/bbl
density,lbm/ft3
density,lbm/galUK
density,lbm/galUK(1000)
density,lbm/galUS
density,lbm/galUS(1000)
density,lbm/in3
density,mg/L
density,mg/dm3
density,mg/galUS
density,mg/m3
density,ug/cm3
depth,fathom
depth,ftBnA
depth,ftBnB
depth,ftBr(65)
depth,ftCla
depth,ftGC
depth,ftInd
depth,ftInd(37)
depth,ftInd(62)
depth,ftInd(75)
depth,ftMA
depth,ftSe
depth,ftUS
depth,inUS
depth,lkBnA
depth,lkBnB
depth,lkCla
depth,lkSe
depth,lkUS
depth,m
depth,mGer
depth,miUS
depth,nautmi
depth,ydBnA
depth,ydBnB
depth,ydCla
depth,ydIm
depth,ydInd
depth,ydInd(37)
depth,ydInd(62)
depth,ydInd(75)
depth,ydSe
diameter,chBnA
diameter,chBnB
diameter,chCla
diameter,chSe
diameter,chUS
diameter,cm
diameter,dm
diameter,fm
diameter,ft
diameter,in
diameter,in/10
diameter,in/16
diameter,in/32
diameter,in/64
diameter,km
diameter,m
diameter,mi
diameter,mil
diameter,nm
diameter,pm
diameter,um
diameter,yd
diffusion coefficient,m2/s
digital storage,Mbyte
digital storage,bit
digital storage,byte
digital storage,kbyte
dimensionless,%
dimensionless,Euc
dimensionless,cEuc
dimensionless,mEuc
dimensionless,nEuc
dimensionless,pu
dimensionless,uEuc
dimensionless,unitless
distance,chBnA
distance,chBnB
distance,chCla
distance,chSe
distance,chUS
distance,cm
distance,dm
distance,fm
distance,ft
distance,ftBnA
distance,ftBnB
distance,ftBr(65)
distance,ftCla
distance,ftGC
distance,ftInd
distance,ftInd(37)
distance,ftInd(62)
distance,ftInd(75)
distance,ftMA
distance,ftSe
distance,ftUS
distance,in
distance,inUS
distance,km
distance,lkBnA
distance,lkBnB
distance,lkCla
distance,lkSe
distance,lkUS
distance,m
distance,mGer
distance,mi
distance,miUS
distance,mil
distance,nautmi
distance,yd
distance,ydBnA
distance,ydBnB
distance,ydCla
distance,ydIm
distance,ydInd
distance,ydInd(37)
distance,ydInd(62)
distance,ydInd(75)
distance,ydSe
dose equivalent rate,Sv/h
dose equivalent rate,Sv/s
dose equivalent rate,mSv/h
dose equivalent rate,mrem/h
dose equivalent rate,rem/h
dose equivalent,Sv
dose equivalent,mSv
dose equivalent,mrem
dose equivalent,rem
dynamic viscosity,N.s/m2
dynamic viscosity,P
dynamic viscosity,Pa.s
dynamic viscosity,cP
dynamic viscosity,dyne.s/cm2
dynamic viscosity,kgf.s/m2
dynamic viscosity,lbf.s/ft2
dynamic viscosity,lbf.s/in2
dynamic viscosity,mPa.s
dynamic viscosity,psi.s
electric capacity,A.h
electric capacity,C
electric capacity,fC
electric capacity,kC
electric capacity,mC
electric capacity,nC
electric capacity,pC
electric capacity,uC
electric charge,A.h
electric charge,C
electric charge,fC
electric charge,kC
electric charge,mC
electric charge,nC
electric charge,pC
electric charge,uC
electric conductance,GS
electric conductance,S
electric conductance,kS
electric conductance,mS
electric conductance,mho
electric conductance,pS
electric conductance,uS
electric current,A
electric current,MA
electric current,kA
electric current,mA
electric current,nA
electric current,pA
electric current,uA
electric dipole moment,C.m
electric field strength,V/m
electric field strength,mV/ft
electric field strength,mV/m
electric field strength,uV/ft
electric field strength,uV/m
electric flux,A.h
electric flux,C
electric flux,fC
electric flux,kC
electric flux,mC
electric flux,nC
electric flux,pC
electric flux,uC
electric polarization,C/cm2
electric polarization,C/m2
electric polarization,C/mm2
electric polarization,mC/m2
electric potential,MV
electric potential,V
electric potential,kV
electric potential,mV
electric potential,uV
electrical resistivity,kohm.m
electrical resistivity,ohm.cm
electrical resistivity,ohm.m
electrochemical equivalent,eq
electrochemical equivalent,meq
electromagnetic energy density,Btu/bbl
electromagnetic energy density,Btu/ft3
electromagnetic energy density,Btu/galUK
electromagnetic energy density,Btu/galUS
electromagnetic energy density,J/dm3
electromagnetic energy density,J/m3
electromagnetic energy density,MJ/m3
electromagnetic energy density,MW.h/m3
electromagnetic energy density,cal/cm3
electromagnetic energy density,cal/mL
electromagnetic energy density,cal/mm3
electromagnetic energy density,erg/cm3
electromagnetic energy density,erg/m3
electromagnetic energy density,ft.lbf/bbl
electromagnetic energy density,ft.lbf/galUS
electromagnetic energy density,hp.hr/bbl
electromagnetic energy density,kJ/dm3
electromagnetic energy density,kJ/m3
electromagnetic energy density,kW.h/dm3
electromagnetic energy density,kW.h/m3
electromagnetic energy density,kcal/cm3
electromagnetic energy density,kcal/m3
electromagnetic energy density,lbf.ft/bbl
electromagnetic energy density,therm/ft3
electromagnetic energy density,therm/galUK
electromagnetic energy density,tonfUS.mi/bbl
electromagnetic moment,A.m2
energy fluence rate,Btu/hr.ft2
energy fluence rate,Btu/s.ft2
energy fluence rate,W/cm2
energy fluence rate,W/m2
energy fluence rate,W/mm2
energy fluence rate,cal/h.cm2
energy fluence rate,hhp/in2
energy fluence rate,hp/in2
energy fluence rate,kW/cm2
energy fluence rate,kW/m2
energy fluence rate,mW/m2
energy fluence rate,ucal/s.cm2
energy length per area,N
energy length per area,kcal.m/cm2
energy length per time area temperature,Btu.in/hr.ft2.F
energy length per time area temperature,W/m.K
energy length per time area temperature,kJ.m/h.m2.K
energy per area,J/cm2
energy per area,J/m2
energy per area,N/m
energy per area,erg/cm2
energy per area,kgf.m/cm2
energy per area,lbf.ft/in2
energy per area,mJ/cm2
energy per area,mJ/m2
energy per length,J/m
energy per length,MJ/m
energy per length,N
energy,Btu
energy,CV.h
energy,Chu
energy,EJ
energy,GJ
energy,GW.h
energy,GeV
energy,J
energy,MJ
energy,MW.h
energy,MeV
energy,TJ
energy,TW.h
energy,TeV
energy,aJ
energy,cal
energy,ch.h
energy,eV
energy,erg
energy,hp.hr
energy,kJ
energy,kW.h
energy,kcal
energy,keV
energy,mJ
energy,nJ
energy,quad
energy,therm
energy,uJ
equivalent per mass,eq/kg
equivalent per mass,meq/100g
equivalent per mass,meq/g
equivalent per volume,eq/L
equivalent per volume,eq/m3
equivalent per volume,meq/cm3
exposure (radioactivity),C/g
exposure (radioactivity),C/kg
fluence rate,Btu/hr.ft2
fluence rate,Btu/s.ft2
fluence rate,W/cm2
fluence rate,W/m2
fluence rate,W/mm2
fluence rate,cal/h.cm2
fluence rate,hhp/in2
fluence rate,hp/in2
fluence rate,kW/cm2
fluence rate,kW/m2
fluence rate,mW/m2
fluence rate,ucal/s.cm2
force area,N.m2
force area,dyne.cm2
force area,kN.m2
force area,kgf.m2
force area,lbf.in2
force area,mN.m2
force area,pdl.cm2
force area,tonfUK.ft2
force area,tonfUS.ft2
force length per length,N
force length per length,N.m/m
force length per length,kgf.m/m
force length per length,lbf.ft/in
force length per length,lbf.in/in
force length per length,tonfUS.mi/ft
force per area,GPa
force per area,MPa
force per area,Mpsi
force per area,N/m2
force per area,N/mm2
force per area,Pa
force per area,Pa(g)
force per area,at
force per area,atm
force per area,bar
force per area,cmH2O(4degC)
force per area,dyne/cm2
force per area,hbar
force per area,inH2O(39.2F)
force per area,inH2O(60F)
force per area,inHg(32F)
force per area,inHg(60F)
force per area,kN/m2
force per area,kPa
force per area,kgf/cm2
force per area,kgf/mm2
force per area,kpsi
force per area,lbf/100ft2
force per area,lbf/ft2
force per area,lbf/ft2(100)
force per area,lbf/in2
force per area,mPa
force per area,mbar
force per area,mmHg(0C)
force per area,pPa
force per area,psf
force per area,psi
force per area,psia
force per area,psig
